Species	MaleCare	MaleProv	Monotocous	BodyMass	LitterSize	TeatRatio	NeonateMass	WeanMass	InterBirthInterval	LittersYear	AnnualFecundity
Crocidura_russula	1	0	0	9.89	4.04	0.5	0.8	5.89	28.5	3.5	14.14
Crocuta_crocuta	0	0	0	63369.98	1.91	0.48	1460	14499.99	441.04		
Cryptoprocta_ferox	0	0	0	9500	2.98	0.5	99.96	5251.93		1	2.98
Cryptotis_parva	1	0	0	4.97	4.55	0.76	0.35			2.5	11.38
Cuniculus_paca	1	0	1	8172.55	1.015	0.5	674.77		191	1.75	1.78
Cuon_alpinus	1	1	0	15800	4.3	0.37	275		365	1	4.3
Cynopterus_brachyotis	0	0	1	33.87	0.99		6.2			2	2
Cynopterus_horsfieldii	0	0		56.01							
Cynopterus_sphinx	0	0	1	44.71	1.5		11	25		2	3
Dactylopsila_trivirgata	0	0	0	413.41	1.54	0.87			365		
Damaliscus_lunatus	0	0	1	136000.33	0.98	0.5	11000				
Dasycercus_cristicauda	0	0	0	99.54	6.5			20.97	365	1	6.5
Dasykaluta_rosamondae	0	0	0	32.17	6.64			3.84	365	1	6.64
Dasyprocta_punctata	1	0	0	2309.12	1.25	0.22			127		
Dasyuroides_byrnei	0	0	0	109.47	5.14		0.02	45	174.5	2	10.28
Dasyurus_geoffroii	0	0	0	1106.62	5.47		0.01	29.89	365	1	5.47
Dasyurus_hallucatus	0	0	0	470.92	6.39	0.83		100	365	1	6.39
Dasyurus_viverrinus	0	0	0	1101.49	4.7	1	0.01	402.83	365	1	4.7
Dendrolagus_bennettianus	0	0	1	10458.82	1			2900	365		
Dendrolagus_lumholtzi	0	0	1	6649.97	1			1299.99	435		
Desmodus_rotundus	0	0	1	33.16	1		6.94		288.95	1.26	1.26
Dicrostonyx_richardsoni	1	0	0		4.5	0.56	3.8			2.5	11.25
Didelphis_marsupialis	0	0	0	1134.75	7.09		0.16	95.91	110	2	14.18
Didelphis_virginiana	0	0	0	2442.08	8.62	0.53	0.15	125	136.87	2	17.24
Dolichotis_patagonum	1	0	0	8000	1.82	0.45	578.96		99.61	3.5	6.37
Dorcopsis_muelleri	0	0	1	5370.79	1						
Dromiciops_gliroides	0	0	0	25	3	0.63			365		
Echymipera_rufescens	0	0	0	1051.48	2.18	0.75					
Ectophylla_alba	0	0	1	5.55	0.99					2	2
Elephantulus_intufi	0	0	0	48.9	1.55	0.25	10		67		
Elephantulus_rufescens	1	0	0	52.78	1.41	0.24	10.29		92.6		
Enhydra_lutris	0	0	1	27410.93	0.96	0.48	1894.37	12414.82	365		
Erethizon_dorsatum	0	0	1	7419.46	1	0.25	490.59				
Erythrocebus_patas	0	0	1	7966.3	1.01	0.5	621.67	2202.46	365		
Eulemur_fulvus	0	0	1	2376.99	1.1	0.58	74.99		547.5		
Eulemur_macaco	0	0	1	2470.43	1.04	0.55	60.5		365	1	1.04
Eulemur_mongoz	1	0	1	1771.13	1.11	0.18	59.48			1	1.11
Eupleres_goudotii	0	0	0	2763.34	1	0.25	150				
Felis_nigripes	1	1	0	1362.77	1.78	0.33	72	58	228.12	4	7.12
Felis_silvestris	0	0	0	4573.08	3.59	0.5	106.4	587.6	148.25	2	7.18
Galago_senegalensis	0	0	0	215.2	1.5	0.28	11.5	122.47	219	2	3
Galea_musteloides	0	0	0	386.64	2.6	0.6	37.39	113.68	53.1	7	18.2
Galea_spixii	0	0	0	360.61	2.19	0.55	33.62		53	6.75	14.78
Galerella_pulverulenta	0	0	0	791.4	2.25		20.19				
Galerella_sanguinea	0	0	0	543.83	2.5	0.36			182.5	2	5
Galidia_elegans	1	1	1	810	1	0.5	48.73	509.57	365	1	1
Genetta_genetta	0	0	0	1756.17	2.29	0.63	77.75		182.5		
Genetta_tigrina	0	0	0	2066.57	2.76	0.69	85.5		304.16		
Gorilla_gorilla	0	0	1	112588.99	1.05	0.52	2095.89	18967.67	1430.8		
Gulo_gulo	0	0	0	12792.49	2.84	0.75	86.02		821.25	0.5	1.42
Hapalemur_griseus	1	0	1	916	1.5	0.5	45.2		334.58		
Helogale_parvula	1	1	0	281.83	3.49	0.58			141.94	2.25	7.85
Hemicentetes_semispinosus	1	0	0	134	5.32		7.39			1.5	7.98
Heterocephalus_glaber	1	1	0	39.36	11.3	1.67	1.86	11	81.1	4.5	50.85
Hipposideros_beatus	0	0		6.7							
Hipposideros_galeritus	0	0		10.17	0.99					1	1
Homo_sapiens	1	1	1	58540.63	1		3182.96	8999.99	958.12		
Hyaena_brunnea	1	1	0	42977.93	2.7		693.09	27399.99	532.29		
Hyaena_hyaena	0	0	0	35070.51	2.44	0.61	653.23		237.25		
Hydrictis_maculicollis	0	0	0	4180.53	3	0.5			365		
Hyemoschus_aquaticus	0	0	1	10850	1.22					1	1.22
Hylobates_agilis	0	0	1	5829.08	1.02						
Hylobates_klossii	0	0	1	5822.29	1.01					0.42	0.42
Hylobates_lar	0	0	1	5578.61	1.01	0.5	398.86	1025.02	983.67		
Hylobates_moloch	0	0	1	5860.81	1				730	0.42	0.42
Hylobates_muelleri	0	0	1	5909.81	1.02				1095		
Hylobates_pileatus	0	0	1	5542.37	1						
Hystrix_africaeaustralis	1	0	0	14936.02	1.51	0.4	305.59		375	1.5	2.27
Ichneumia_albicauda	0	0	0	3628.4	2.35						
Ictonyx_striatus	0	0	0	811.02	2.3	0.5	13.69		365	1	2.3
Isoodon_macrourus	0	0	0	1505.77	3.13	0.41	0.17	150	60.5	2.66	8.33
Isoodon_obesulus	0	0	0	824.76	2.33		0.34	180.89	114.75	2.2	5.13
Kannabateomys_amblyonyx	1	1	1	599.99	1				102		
Kerivoula_lanosa	0	0		6.66	0.98						
Kerivoula_papillosa	0	0	1	10.21	0.98						
Kerivoula_picta	0	0	1	4.5	1						
Kerodon_rupestris	1	0	0	799.15	1.52		82.44		86.15	5	7.6
Kobus_vardonii	0	0	1	71462.72	1	0.25	5798.07		365		
Lagorchestes_conspicillatus	0	0	1	2821.01	1			950	152.54		
Lagorchestes_hirsutus	0	0	1	1407.14	1			499.99	125		
Lagostrophus_fasciatus	0	0	1	1933.48	0.9			359.99	365		
Lasiopodomys_brandtii	1	0	0		5		3.05				
Lasiopodomys_mandarinus	1	0	0								
Lasiorhinus_latifrons	0	0	1	26163.8	1		0.49	4000	365		
Lavia_frons	1		1	23.8	0.99					1	1
Leontopithecus_rosalia	1	1	0	592.52	1.94	0.97	51.89	165	182.5		
Lepilemur_ruficaudatus	0	0	1	763.36	1.02	0.5					
Leptailurus_serval	0	0	0	11999.96	2.35	0.59	254		182.5	2.5	5.88
Lepus_timidus	0	0	0	3105.42	3.16		113.49		50.1	3	9.48
Lontra_canadensis	0	0	0	8087.42	2.67	0.62	135.94		365	1	2.67
Lophocebus_albigena	1	0	1	7418.71	1.01	0.5	498.58	2170	770.15		
Lutra_lutra	0	0	0	8868.69	2.01	0.34	284.99		365	1	2.01
Lutrogale_perspicillata	1	1	0	8912.49	3.24						
Lycaon_pictus	1	1	0	21999.99	8.1	0.68	297.45		355.87		
Lynx_lynx	0	0	0	19300	2.3	0.62	289		365	1	2.3
Lynx_rufus	0	0	0	6374.47	2.76	0.87	300		365		
Macaca_arctoides	1	1	1	9358.04	1.01	0.5	488.99	2300	544.6		
Macaca_fascicularis	0	0	1	4569.32	1	0.5	328.76	854.16	398.45	1	1
Macaca_fuscata	0	0	1	10114.76	1.02		501.57	2250.7	486.66	1	1.02
Macaca_mulatta	0	0	1	6455.19	1.01	0.5	471.47	1314.91	385.5	1	1.01
Macaca_nemestrina	0	0	1	7820.78	1.01		472.92	1367.39	405.07		
Macaca_radiata	0	0	1	4999.99	1.01	0.5	367.52	2000	365		
Macaca_sylvanus	1	0	1	11471.53	1.02	0.5	449.85	2318.27	431.71		
Macaca_thibetana	1		1	10593.06	1.01	0.5	499.99	2409.97	730		
Macropus_agilis	0	0	1	11815.75	1.01		0.63	2286.7	217	1.8	1.82
Macropus_antilopinus	0	0	1	27250.1	1		0.7		270		
Macropus_dorsalis	0	0	1	11249.96	1			1000	211		
Macropus_eugenii	0	0	1	5278.48	1.01		0.44	1048.8	365	1	1.01
Macropus_fuliginosus	0	0	1	25564.7	1		0.86	7778.17	372.02	1	1
Macropus_giganteus	0	0	1	33409.89	1	0.25	0.84	8124.03	362.79	1	1
Macropus_irma	0	0	1	8000	1						
Macropus_parma	0	0	1	4156.62	0.9		0.5	754	213	1.3	1.3
Macropus_parryi	0	0	1	12629.83	1				266		
Macropus_robustus	0	0	1	25978.92	1		0.7	4743.41	258.54		
Macropus_rufogriseus	0	0	1	16850	1.01	0.25	0.53	3199.21	279.87	1	1.01
Macropus_rufus	0	0	1	38968.39	1		0.81	7416.19	238.5		
Macroscelides_proboscideus	0	0	0	38.64	1.5	0.25					
Macrotis_lagotis	0	0	0	1229.58	1.5				175	4	6
Macrotus_californicus	0	0	1	11.83	1		2.52				
Madoqua_kirkii	0	0	1	4833.4	0.98	0.25	625.82	1633.49	182.5		
Marmota_caligata	0	0	0	2253.71	4.67					0.5	2.34
Martes_americana	0	0	0	873.69	2.6	0.65	31.3	386.78	365	1	2.6
Martes_martes	1	1	0	1299.99	3.49	0.87	30	679.99	365	0.75	2.62
Martes_pennanti	0	0	0	3750	3.02	0.76	28.97		365		
Meles_meles	0	0	0	11884.03	3.11	0.52	90.24		365	1	3.11
Melursus_ursinus	0	0	0	99999.99	1.54				1095		
Mephitis_mephitis	0	0	0	2399.99	5.7	0.48	33.19		365	2	11.4
Meriones_crassus	0	0	0	69.94	4.21	0.55	3.34		67	2	8.42
Meriones_tamariscinus	1	0	0		4.04	0.64	2.97	15.16	27	2	8.08
Meriones_unguiculatus	1	0	0	57.75	5.01	0.5	2.85	13.24	46	3	15.03
Mesocricetus_auratus	0	0	0	98.6	8.79	0.56	2.35	22.93		4	35.16
Microcavia_australis	0	0	0	261.49	2.58	0.63	30.39		54.6	4.5	11.61
Microtus_agrestis	0	0	0	35.87	4.65		2.09	8.84	20.26	3.5	16.28
Microtus_californicus	1	0	0	57.42	4.41	0.6	3.28	18.89		5	22.05
Microtus_montanus	0	0	0	42.85	5.54	0.55	3.89	9.33	22.25	4.76	26.37
Microtus_ochrogaster	1	0	0	42.5	3.87	0.65	2.94	15.14	26	4.07	15.75
Microtus_oeconomus	1	0	0	33.1	5.62	0.58	2.34	15.6	23.15	3.5	19.67
Microtus_pennsylvanicus	0	0	0	42.53	5.16	0.61	2.4	13.14	21.19	2.7	13.93
Microtus_pinetorum	1		0	25.95	2.47	0.62	2.42	9.55	26.05	2.5	6.18
Microtus_richardsoni	0	0	0	85.5	5.93	0.74	5.48			2	11.86
Microtus_xanthognathus	0	0	0	92.65	8.1	1	3.49			2	16.2
Miniopterus_australis	0	0	1	7.4	0.99					1	1
Miniopterus_minor	0	0									
Miopithecus_talapoin	0	0	1	1248.86	1.01	0.5	179.04	416.46	365		
Mungos_mungo	1	1	0	1260	2.68	0.45	24.2		365	2.5	6.7
Mus_musculus	0	0	0	19.3	5.54	0.54	1.06	10		4.5	24.93
Mus_spicilegus	1	0	0		6.69					4.5	30.11
Mus_spretus	1	0	0	16.67	5.15						
Mustela_altaica	0	0	0	180.24	5.44				365		
Mustela_erminea	0	0	0	284.5	6.74	0.67	2.25	25.22	365	1	6.74
Mustela_frenata	0	0	0	190.03	6.5	0.81	3.09	28.62	365		
Mustela_lutreola	0	0	0	566.44	4.5		7.4		365		
Mustela_nigripes	0	0	0	907.1	3.36		7.39		365		
Mustela_nivalis	0	0	0	78.45	5.07		2	45.63	273.75	1	5.07
Mustela_putorius	0	0	0	975.55	8.48		9.5		252.5	1	8.48
Mustela_sibirica	0	0	0	530.85	6.48	0.87					
Myodes_gapperi	0	0	0	19.83	5.37	0.67	1.49	10.37	17	2.4	12.89
Myodes_glareolus	0	0	0	20.73	4.31	0.52	1.83	9.43	21.75	3.5	15.08
Myodes_rutilus	0	0	0	19.94	5.6	0.68	1.8		20.5	4.2	23.52
Myoprocta_acouchy	1	0	0	954.87	1.97	0.25	75.23	349.99	127		
Myotis_adversus	0	0	1	10.41	1					2.5	2.5
Myotis_bocagii	0	0	1	7.93	0.99						
Myotis_lucifugus	0	0	1	7.8	1		2.18	6.79		1	1
Myotis_myotis	0	0	1	25.59	1.5		6	23.1		1	1.5
Myrmecobius_fasciatus	0	0	0	511.44	3.68				365		
Nandinia_binotata	0	0	0	2167.2	1.84	0.46	56		182.5		
Neofelis_nebulosa	1	1	0	14945.05	2.25		166.49	919.81			
Neoromicia_nanus	0	0	0	2.51	1.96						
Neotoma_albigula	0	0	0	208.18	2.14		11.21	103.3	49	2	4.28
Neotoma_floridana	0	0	0	249.16	3.11	0.67	14.04	45.9	83	2.5	7.77
Neotoma_fuscipes	0	0	0	213.26	2.79	0.7	13.15			1.75	4.88
Neotoma_lepida	0	0	0	143.88	2.7	0.65	9.36	34.94	60	3.5	9.45
Neotoma_micropus	0	0	0	255.14	2.5		11.7			2	5
Neotomodon_alstoni	1	0	0	44.64	3.2	0.52	3.4			2.5	8
Neotragus_batesi	0	0		2967.45	1	0.25	499.99				
Neotragus_pygmaeus	0	0		3913.68	1	0.25					
Neovison_vison	0	0	0		5	0.83			365		
Ningaui_ridei	0	0	0	9.42	5.99			0.7	365	2	11.98
Ningaui_yvonnae	0	0	0	6.37	5.7			2	365	2	11.4
Noctilio_leporinus	0	0	1	29.93	1					1	1
Nomascus_concolor	0	0	1	6410.47	1.01				821.25		
Nomascus_gabriellae	0	0	1								
Nomascus_leucogenys	0	0	1	7320			497.33				
Notomys_alexis	1	0	0	32.34	4.01	1	2.29	12.5	32.75		
Notoryctes_typhlops	0	0	1	55	1	0.5					
Nyctalus_noctula	0	0	1	28.48	1.33		5.57	20.21		1	1.33
Nyctereutes_procyonoides	1	1	0	4214.99	6.36		87.42	734.84	365	1	6.36
Nycteris_arge	0	0	1	10.79	0.98		4				
Nycteris_hispida	0	0	1	7.98	0.99					1	1
Nycteris_nana	0	0	1	6.98	1					1	1
Nycticeius_humeralis	0	0	0	9.12	1.94		1.73	4.51		1	1.94
Ochotona_curzoniae	0	0	0	159.47	4.39		11.2			3.5	15.36
Octodon_degus	1	0	0	203.27	5.31	0.66	14.19	71.12		2	10.62
Octodontomys_gliroides	1	0	0	155.77	2.04	0.34	20				
Okapia_johnstoni	0	0	1	230001.14	0.98	0.25	18325.61			1	1
Ondatra_zibethicus	1	1	0	991.31	6.55	1.09	21.99	153.7	30	2.43	15.92
Onychogalea_fraenata	0	0	1	4952.05	1			1232.88	125		
Onychogalea_unguifera	0	0	1	6494.73	1						
Onychomys_leucogaster	1	1	0	27.92	3.84	0.64	2.3	13.1	31.5	3.8	14.59
Onychomys_torridus	1	0	0	21.68	3.3	0.42	2.33	9.19	29.7	2.5	8.25
Oreotragus_oreotragus	0	0	1	13486.55	0.98	0.25	1130		365		
Oryctolagus_cuniculus	0	0	0	1590.57	5.24		39.11	211.06	29	4.5	23.58
Otocyon_megalotis	1	1	0	4098.12	4	1	120.7		182.5	2	8
Otomops_martiensseni	0	0	1	34.92	0.99		7.99			1	1
Pan_troglodytes	0	0	1	45000	1.05	0.52	1745.02	8499.99	1825		
Panthera_leo	1	1	0	158623.93	2.75	0.69	1291.71		730	2	5.5
Panthera_onca	0	0	0	83943.09	1.96		817.3		365		
Panthera_pardus	0	0	0	52399.99	2.14	0.53	553.39		476.37	1	2.14
Panthera_tigris	0	0	0	161914.66	2.6		1313.5	11003	821.25	1	2.6
Papio_anubis	1	1	1	14007.08	1.01	0.5	890	3299.79	608.33		
Parantechinus_apicalis	0	0	0	71.31	7.5				365	1	7.5
Perameles_bougainville	0	0	0	230.8	2			100			
Perameles_gunnii	0	0	0	903.46	2.31	0.3	0.22	125.19	65	3.8	8.78
Perameles_nasuta	0	0	0	720.26	2.43		0.23	106.06	53		
Peromyscus_boylii	0	0	0	23.9	3.18		2.19				
Peromyscus_californicus	1	0	0	42.68	1.94		4.31	17.61	24	4.37	8.48
Peromyscus_crinitus	0	0	0	16.32	3.08	0.77	2.19	14.09	26	2.05	6.31
Peromyscus_eremicus	1	0	0	22.73	2.52	0.63	2.51		38.5	3	7.56
Peromyscus_leucopus	1	0	0	18.07	4.27	0.72	1.8	8.94	26.6	4.5	19.21
Peromyscus_maniculatus	1	0	0	19.98	4.76	0.82	1.73	8.8	27.14	2.6	12.38
Peromyscus_melanocarpus	1	0	0	58.9	2.23	0.45	4.5		33.55		
Peromyscus_melanophrys	0	0	0	40	2.91						
Peromyscus_mexicanus	1	0	0	42.58	2.56	0.6	4.34		33.3	7.4	18.94
Peromyscus_polionotus	1	0	0	14.27	3.59	0.61	1.54	5.93	24.25	2	7.18
Peromyscus_truei	0	0	0	27	3.49		2.31		40	3	10.47
Peropteryx_kappleri	0	0		9.85	1		1.09	6.74		2.02	2.02
Petaurus_breviceps	1	0	0	120.76	1.82	0.5	0.18	49.29	311	1.3	2.37
Petaurus_gracilis	1			360.63	1.75						
Petrogale_assimilis	0	0	1	4618.88	1			734.99	200		
Petrogale_concinna	0	0	1	1398.2	1			244.94	265.5	1	1
Petrogale_penicillata	0	0	1	6931.6	1			734.99	202.5		
Petrogale_xanthopus	0	0	1	8499.99	1.02		0.48	1581.13	196		
Petromus_typicus	1	0	0	224	1.5					1	1.5
Petropseudes_dahli	1	0	1	1877.03	1	0.5					
Phalanger_mimicus	0	0	0								
Phascogale_calura	0	0	0	43.03	7.5	0.94			365	1	7.5
Phascogale_tapoatafa	0	0	0	192.65	6.79	0.76		18	365	1	6.79
Phascolarctos_cinereus	0	0	1	6528.74	1.01	0.5	0.36	1155	374	1	1.01
Philander_opossum	0	0	0	425.81	4.75	0.67	0.2	82.91	106	3	14.25
Phodopus_campbelli	1	1	0	27.06	8.47		1.49			3.5	29.65
Phodopus_sungorus	0	0	0	30.43	5.48	0.59	2.04	13.73	24	3	16.44
Phyllostomus_discolor	1	0	1	36.7	0.99		7.29				
Phyllostomus_hastatus	0	0	1	91.44	0.99		15.94	59.09		1	1
Pipistrellus_nathusii	0	0	0	7.44	1.73					1	1.73
Pipistrellus_pipistrellus	0	0	1	5.3	1.37		1.28	3.89		1	1.37
Pithecia_pithecia	1		1	1667.19	1.01				448.03		
Planigale_gilesi	0	0	0	9.34	5.23			4.93	341	2	10.46
Planigale_ingrami	0	0	0	6.27	7.48						
Planigale_maculata	0	0	0	12	7.64			2.2	91	2	15.28
Planigale_tenuirostris	0	0	0	6.27	5.99			2.33	211.5	2	11.98
Plecotus_auritus	0	0	0	8.19	1.2		2.09	5.7		1	1.2
Pongo_pygmaeus	0	0	1	53408.29	1.07	0.52	1644.2	10537.59	2007.5		
Potorous_tridactylus	0	0	1	1054.67	1	0.5	0.31	203.46	133	2	2
Potos_flavus	0	0	1	2441.81	1.11	0.5	171.84		365	1	1.11
Presbytis_melalophos	0	0	1	6439.12	1.01	0.5					
Presbytis_potenziani	0	0	1	6449.53	1.02						
Prionailurus_bengalensis	1	1	0	2780.97	2.5		83		165.56		
Procyon_lotor	0	0	0	6373.72	3.06	0.51	82.46	1095.44	365	1	3.06
Propithecus_verreauxi	0	0	1	3588.26	1.02	0.51	102.65		365	1	1.02
Proteles_cristata	0	0	0	8139.39	2.64	0.66	275				
Pseudantechinus_bilarni	0	0	0	23.05	4.75				365	1	4.75
Pseudantechinus_macdonnellensis	0	0	0	36.88	5.88		0.01		365	1	5.88
Pseudomys_albocinereus	1	0	0	23.78	3.89	0.95		10.81	38.5	3	11.67
Pseudomys_desertor	0	0	0	37.09	3	0.75			29.75		
Pteropus_hypomelanus	0	0		435.61	1					1	1
Pteropus_mariannus	0	0		458.58							
Pteropus_pumilus	0	0		184.05						2	
Pteropus_rodricensis	0	0	1	256.17	1		45			1	1
Pteropus_samoensis	0	0		309.99							
Pteropus_seychellensis	0	0		492.2	1					1	1
Pteropus_tonganus	0	0	1	561.51	1		94.16				
Pteropus_vampyrus	0	0	1	1027.54	0.99					1	1
Puma_concolor	0	0	0	53954.05	2.76		409.87	3499.99	577.91	0.75	2.07
Rattus_fuscipes	1	0	0	124.58	4.58	0.46	4.24	17.6		3.3	15.11
Rattus_norvegicus	0	0	0	282.89	8.99	0.75	5.8	53.07		3.5	31.47
Rattus_rattus	1	0	0	142.68	5.88		4.53	37.01	31.25	3.75	22.05
Redunca_arundinum	0	0	1	58059.24	0.98	0.25	4500		273.75		
Redunca_redunca	0	0	1	43288.95	1	0.25					
Reithrodontomys_humulis	1	0	0	8.25	2.99	0.55	1.07		34.05		
Rhabdomys_pumilio	1	0	0	40.73	5.28	0.74	2.5	8.43	29.07	7	36.96
Rhinolophus_ferrumequinum	0	0	1	22.59	0.98		5.64			1	1
Rhinolophus_luctus	0	0	1	34.07	0.99						
Rhinolophus_sedulus	0	0		8.74							
Rhinopithecus_bieti	1	0	1	11000.54	1		424.72				
Rhynchocyon_chrysopygus	0	0	1	535.2	1		80	180	81		
Rhynchonycteris_naso	0	0	1	4.14	0.99		0.98			2	2
Rousettus_amplexicaudatus	1	0	1	74.37	0.99		12			2	2
Saccolaimus_peli	0	0		53.35	1						
Saccopteryx_leptura	0	0	1								
Saguinus_fuscicollis	1	1	0	393.99	1.83	0.89	39.18		293.5		
Saguinus_labiatus	1		0	508.46	1.84		40.67		299.3		
Saguinus_nigricollis	0	0	0	450	1.82	0.9	43.58	175			
Saguinus_oedipus	1	1	0	462.04	1.9	0.96	41	105	233.06		
Saimiri_sciureus	0	0	1	749.47	1	0.5	107.5	418	383.25		
Sarcophilus_harrisii	0	0	0	8202.25	2.88	0.73	0.02	200	365	1	2.88
Sciurus_carolinensis	0	0	0	545.4	2.98	0.37	15.17	200		2	5.96
Sciurus_niger	0	0	0		2.79	0.35	15.5			2	5.58
Semnopithecus_entellus	0	0	1	12679.29	1.02	0.5	499.83	2100	507.95		
Setonix_brachyurus	0	0	1	3027.67	1		0.36	499.99	345	1.4	1.4
Sigmodon_hispidus	0	0	0	110.65	5.44	0.54	6.6	18.2		2	10.88
Simias_concolor	0	0	1	7393.9							
Sminthopsis_crassicaudata	0	0	0	15.98	6.52		0.01	6.5	97	2	13.04
Sminthopsis_griseoventer	0	0	0	17.5							
Sminthopsis_leucopus	0	0	0	23.36	8.4			8.88	365	1	8.4
